ID,Title,type_of_paper,most_likely_to_title_WD,most_likely_to_title_OA,publication_date_title,author_1,educated_at_author_1,author_1_ORCID,ocupation_author_1,works_for_author_1,same_as_author_1_WD,same_as_author_1_OA,author_2,educated_at_author_2,author_2_ORCID,ocupation_author_2,works_for_author_2,same_as_author_2_WD,same_as_author_2_OA,author_3,educated_at_author_3,author_3_ORCID,ocupation_author_3,works_for_author_3,same_as_author_3_WD,same_as_author_3_OA,author_4,educated_at_author_4,author_4_ORCID,ocupation_author_4,works_for_author_4,same_as_author_4_WD,same_as_author_4_OA,author_5,educated_at_author_5,author_5_ORCID,ocupation_author_5,works_for_author_5,same_as_author_5_WD,same_as_author_5_OA,project_1,project_2,works_for_author_6,organitation_name_1,location_organitation_1,organitation_website_1,organitation_website_2,organitation_website_3,organitation_website_4,organitation_website_5,organitation_website_6,same_as_organitation_1_WD,same_as_organitation_1_OA,organitation_name_2,location_organitation_2,same_as_organitation_2_WD,same_as_organitation_2_OA,organitation_name_3,location_organitation_3,same_as_organitation_3_WD,same_as_organitation_3_OA,organitation_name_4,location_organitation_4,same_as_organitation_4_WD,same_as_organitation_4_OA,organitation_name_5,location_organitation_5,same_as_organitation_5_WD,same_as_organitation_5_OA,organitation_name_6,location_organitation_6,same_as_organitation_6_WD,same_as_organitation_6_OA,acknowledge_person_1,acknowledge_person_2,acknowledge_person_3,acknowledge_person_4,acknowledge_person_5,belongs_to_topic,topic_words_2,topic_words_1,topic_words_0,topic_words_7,topic_words_4,topic_words_5,topic_words_6,topic_words_8,topic_probability,topic_words_3,topic_words_9,topic_words_10,belongs_to_cluster
0,Virological assessment of hospitalized patients with COVID-2019,journal-article,http://www.wikidata.org/entity/Q89379643,https://openalex.org/W3013893137,2018-10,Roman Wölfel,,https://orcid.org/0000-0002-8756-7821,,https://openalex.org/I3019933268,,https://openalex.org/A2697293762,Victor Corman,,,,https://openalex.org/I39343248,,https://openalex.org/A4354971459,Wolfgang Guggemos,,,,https://openalex.org/I8204097,,https://openalex.org/A4351657905,Michael Seilmaier,,,,https://openalex.org/I4210121101,,https://openalex.org/A4297254524,Sabine Zange,,,,https://openalex.org/I3019933268,,https://openalex.org/A4357588666,602525,,,BELSPO,BE,http://www.belspo.be/belspo/index_en.stm,https://melissainstitute.org/,,,,,,https://openalex.org/I2801523276,MELiSSA,US,http://www.wikidata.org/entity/Q1582537,https://openalex.org/I4210130975,,,,,,,,,,,,,,,,,,,,,,0,risk corporate culture construction knowledge,detection vulnerability yolo brain food,companies water investor retail space,,denoising systems data smart mppca,tractography flood mouse risk dcm,hearing loss biomedical stimuli load,,0.907788454,adults virus older patients rna,,,0
1,Contents lists available at ScienceDirect,journal-article,,https://openalex.org/W2172172920,3/23/2017,Shaun Howell,,https://orcid.org/0000-0003-4629-0165,,https://openalex.org/I79510175,,https://openalex.org/A2468196247,Yacine Rezgui,,,,https://openalex.org/I79510175,,https://openalex.org/A4353277285,Thomas Beach,,,,https://openalex.org/I4210145600,,https://openalex.org/A4356018669,Semantic Aioti,,,,,,,Apache Jena,,,,,,,1302677,17035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,0.910712378,,,,5
2,Construction risk knowledge management in BIM using ontology and semantic web technology,journal-article,,https://openalex.org/W2340900365,4/22/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118240099,,,Fundamental Research Funds for the Central Universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0.891335154,,,,5
3,Two-Stage Session-based Recommendations with Candidate Rank Embeddings,journal-article,,https://openalex.org/W2080950999,8/22/2019,José Sánchez Rodríguez,,,,https://openalex.org/I4210090703,,https://openalex.org/A4342210789,Jui-Chieh Wu,,,,https://openalex.org/I16733864,,https://openalex.org/A4332274736,Mustafa Khandwawala,,,,https://openalex.org/I59270414,,https://openalex.org/A2670850441,Fabio Aiolli,,https://orcid.org/0000-0002-5823-7540,,https://openalex.org/I138689650,,https://openalex.org/A1436807182,Paul Covington,,,,https://openalex.org/I1291425158,,https://openalex.org/A2645023824,,,,EPSRC,GB,https://www.epsrc.ac.uk/,https://www.bre.co.uk/,http://www.cardiff.ac.uk/,,,,,https://openalex.org/I1299528221,BRE,GB,http://www.wikidata.org/entity/Q597386,https://openalex.org/I2800994460,Cardiff University,GB,http://www.wikidata.org/entity/Q1035745,https://openalex.org/I79510175,,,,,,,,,,,,,,,,,,4,,,,,,,,,0.915352893,,,,5
4,Nonsyndromic Hearing Loss DFNA10 and a Novel Mutation of EYA4: Evidence for Correlation of Normal Cardiac Phenotype With Truncating Mutations of the Eya Domain,journal-article,,https://openalex.org/W2009625116,,Tomoko Makishima,Kyushu University,https://orcid.org/0000-0003-3397-6395,,https://openalex.org/I55302922,,https://openalex.org/A1984145752,Anne Madeo,,,,https://openalex.org/I4210156075,,https://openalex.org/A4339387275,Carmen Brewer,,,,https://openalex.org/I4210156075,,https://openalex.org/A4343697888,Christopher Zalewski,,,,https://openalex.org/I4210156075,,https://openalex.org/A4352891818,John Butman,,,,https://openalex.org/I4210155647,,https://openalex.org/A4357681337,Z01-DC-00060,Z01-DC-00064,,Ningbo Science and Technology Bureau for S&T Innovation,,,,,,,,,,Ningbo Science and Technology Bureau for,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0.886765505,,,,11
5,Contextual incongruency triggers memory reinstatement and the disruption of neural stability,book-chapter,,https://openalex.org/W40303416,,Xiongbo Wu,,,,https://openalex.org/I4210158071,,https://openalex.org/A4345670572,Pau Packard,,,,https://openalex.org/I170486558,,https://openalex.org/A2052370175,Josué García-Arch,,,,https://openalex.org/I71999127,,https://openalex.org/A2972541715,Nico Bunzeck,,https://orcid.org/0000-0001-8834-450X,,https://openalex.org/I9341345,,https://openalex.org/A232972181,Lluís Fuentemilla,,,,https://openalex.org/I71999127,,https://openalex.org/A4346171733,,,,University of Bristol Business School,,,,,,,,,,Bangor Business School,,,,,,,,,,,,,,,,,,,,Chris Chapman,Giovanna Michelon,Mark Clatworthy,Emma Pugh,Marion Van Den Bosch,0,,,,,,,,,0.884145589,,,,11
6,Corporate socio-political activism and retail investors: Evidence from the Black Lives Matter campaign,journal-article,,https://openalex.org/W2238119078,4/13/2023,Ruby Brownen-Trinh,,,,https://openalex.org/I36234482,,https://openalex.org/A2906157420,Ayan Orujov,,,,https://openalex.org/I161548249,,https://openalex.org/A2804898168,Thomas Gemmill,,,,,,,Odean Barber,,,,,,,Edelman Earned Brand,,,,,,,,,,NWO,NL,http://www.nwo.nl/,,,,,,http://www.wikidata.org/entity/Q243370,https://openalex.org/I2800991832,,,,,,,,,,,,,,,,,,,,,Anne Roefs,,,,,1,,,,,,,,,0.884479731,,,,1
7,"An animal crisis caused by pollution, deforestation, and warming in the late 21st century and exacerbation by nuclear war",journal-article,,https://openalex.org/W2083913807,4/5/2023,Kunio Kaiho,,https://orcid.org/0000-0002-9212-1218,,https://openalex.org/I201537933,,https://openalex.org/A2121716411,J.-F Lamarque,,,,https://openalex.org/I107766831,,https://openalex.org/A4368821096,A.-K Lundebye,,,,,,,J.-C Svenning,,,,,,,,,,,,,,,,,University of Münster,DE,https://www.uni-muenster.de/en/,,,,,,,https://openalex.org/I22465464,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,0.882025322,,,,6
8,"You Only Look Once: Unified, Real-Time Object Detection",proceedings-article,http://www.wikidata.org/entity/Q112183158,https://openalex.org/W2963037989,5/9/2016,Joseph Redmon,,,,https://openalex.org/I201448701,,https://openalex.org/A4340105427,Santosh Divvala,,https://orcid.org/0000-0003-4042-5874,,https://openalex.org/I2945602774,,https://openalex.org/A2310010008,Ross Girshick,,,,https://openalex.org/I2252078561,,https://openalex.org/A4358337110,Ali Farhadi,,,,https://openalex.org/I3121602497,,https://openalex.org/A4358541034,R-Cnn Fast,,,,,,,1338054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.892414969,,,,12
9,Attention Is All You Need,proceedings-article,http://www.wikidata.org/entity/Q30249683,https://openalex.org/W2963403868,12/6/2017,Ashish Vaswani,University of Southern California,,,https://openalex.org/I1291425158,,https://openalex.org/A4353268090,Google Brain,,,,https://openalex.org/I1291425158,,https://openalex.org/A4371696026,Noam Shazeer,,,,https://openalex.org/I170897317,http://www.wikidata.org/entity/Q30251943,https://openalex.org/A4353703775,Niki Parmar,,,,https://openalex.org/I1291425158,,https://openalex.org/A4355993212,Jakob Uszkoreit,,,,https://openalex.org/I1291425158,,https://openalex.org/A4353417287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Turnbull,Youssef Z. Wadghiri,,,,5,,,,,,,,,0.893412058,,,,1
10,North American Academic Research,journal-article,,https://openalex.org/W2060234738,4/19/2020,Suy Bunlay,,,,,,https://openalex.org/A3210727890,Antony Best,,,,https://openalex.org/I909854389,,https://openalex.org/A4334463192,Jussi Hanhimaki,,,,https://openalex.org/I40773681,,https://openalex.org/A702409154,Joseph Maiolo,,,,https://openalex.org/I183935753,,https://openalex.org/A4346586356,Kirsten Schulze,,,,https://openalex.org/I909854389,,https://openalex.org/A4349347072,,,,"Ministerio de Ciencia, Innovación y Universidades",,,,http://www.aei.mpg.de/,,,,,,Agencia Estatal de Investigación,,,,AEI,DE,http://www.wikidata.org/entity/Q291401,https://openalex.org/I4210127646,European Regional Development Fund. ERDF,,,,CERCA Programme/Generalitat de Catalunya,,,,,,,,,,,,,6,,,,,,,,,0.913378869,,,,2
11,Relationships between neurotransmitter receptor densities and expression levels of their corresponding genes in the human hippocampus,journal-article,,https://openalex.org/W2144950544,,Ling Zhao,University of Science and Technology of China,,researcher,https://openalex.org/I4210098460,http://www.wikidata.org/entity/Q59868729,https://openalex.org/A4358035276,Thomas Mühleisen,,,,https://openalex.org/I44260953,,https://openalex.org/A4360065336,Dominique Pelzer,,,,https://openalex.org/I171892758,,https://openalex.org/A4365248412,Bettina Burger,,https://orcid.org/0000-0002-7686-0176,,https://openalex.org/I2802542264,,https://openalex.org/A2091612658,Eva Beins,,,,https://openalex.org/I2799391451,,https://openalex.org/A4335959655,,,,European Research Council,BE,http://erc.europa.eu/,http://www.er-c.org/centre/centre.htm,http://www.fchampalimaud.org/en/the-foundation/,,,http://www.fct.pt/,,https://openalex.org/I2801350356,ERC,DE,http://www.wikidata.org/entity/Q137820,https://openalex.org/I2801833913,Champalimaud Foundation,PT,,https://openalex.org/I113358080,CONGENTO,,,,European Regional Development Fund,,,,Fundação para a Ciência e Tecnologia,PT,,https://openalex.org/I7883018,Cristina Chavarrías,,,,,4,,,,,,,,,0.912430278,,,,10
12,DIVERSITY OF TIME ZONES AT BURJ KHALIFA IN PERFORMING PRAYERS AND FASTING IN SKYSCRAPERS,journal-article,,https://openalex.org/W4321475712,2023-01,Mohd Hafiz Safiai,,,,https://openalex.org/I885383172,,https://openalex.org/A4358724481,Mohd Ariff,,,,https://openalex.org/I885383172,,https://openalex.org/A4349119155,Mohd Kashim,,,,https://openalex.org/I885383172,,https://openalex.org/A4353322060,Yazid Ahmad,,,,https://openalex.org/I51569856,,https://openalex.org/A4349436011,Ezad Jamsari,,,,https://openalex.org/I885383172,,https://openalex.org/A4357308878,,,,National Institutes of Health,US,http://www.nih.gov/,http://www.niaid.nih.gov/Pages/default.aspx,http://www.nih.gov/,http://www.nih.gov/,http://www.cancer.gov/,https://ncats.nih.gov/,http://www.wikidata.org/entity/Q390551,https://openalex.org/I1299303238,National Institute of Allergy and Infectious Diseases,US,,https://openalex.org/I4210134534,National Institutes of Health,US,http://www.wikidata.org/entity/Q390551,https://openalex.org/I1299303238,National Institutes of Health,US,http://www.wikidata.org/entity/Q390551,https://openalex.org/I1299303238,National Cancer Institute,US,,https://openalex.org/I4210140884,Nelson & Shenkman,US,,https://openalex.org/I4210148682,,,,,,6,,,,,,,,,0.892520477,,,,5
13,Understanding the generation of methanol synthesis and water gas shift activity over copper-based catalysts -A spatially resolved experimental kinetic study using steady and non-steady state operation under CO/CO 2 /H 2 feeds,journal-article,,https://openalex.org/W2278611107,2/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAKENHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyoko Ishii,Shusuke Okawara,Hiroshi Kaiho,,,6,,,,,,,,,0.885351786,,,,7
14,Multiobjective stochastic programming with recourses for real-time flood water conservation of a multireservoir system under uncertain forecasts,journal-article,,https://openalex.org/W3084396145,9/9/2020,Bin Xu,McGill University,,researcher,https://openalex.org/I119045251,http://www.wikidata.org/entity/Q38320488,https://openalex.org/A4354497542,Ping-An Zhong,,https://orcid.org/0000-0002-0888-8214,,https://openalex.org/I163340411,,https://openalex.org/A2715939308,Qingwen Lu,,,,https://openalex.org/I163340411,,https://openalex.org/A3041988630,Feilin Zhu,,,,https://openalex.org/I163340411,,https://openalex.org/A2344793904,Xin Huang,,,,https://openalex.org/I4210090489,,https://openalex.org/A4354278326,B200202028,B200202032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.899374669,,,,2
15,"MP-PCA denoising of fMRI time-series data can lead to artificial activation ""spreading """,journal-article,,https://openalex.org/W2461122361,,Francisca Fernandes,,,,https://openalex.org/I88273585,,https://openalex.org/A4340258319,Jonas Olesen,,,,https://openalex.org/I2802582725,,https://openalex.org/A4357588875,Sune Jespersen,,,,https://openalex.org/I204337017,,https://openalex.org/A4359770520,Noam Shemesh,,,,https://openalex.org/I113358080,,https://openalex.org/A4359993257,,,,,,,,Lisboa2020,01-0145-FEDER-022170,,Instituto Oceanográfico de Venezuela,,,,,,,,,,Consejo de Investigación de la Universidad de Oriente,,,,,,,,,,,,,,,,,,,,LOREN LOCKWOOD,,,,,1,,,,,,,,,0.917405285,,,,0
16,A five-stage treatment train for water recovery from urine and shower water for long-term human Space missions,journal-article,,https://openalex.org/W3087151506,9/15/2020,K.-H Choo,,,,https://openalex.org/I1321649718,,https://openalex.org/A4351104828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephan Gouws,,,,,6,,,,,,,,,0.92738349,,,,2
17,Corporate culture and firm resilience in China: Evidence from the Sino-US trade war,journal-article,,https://openalex.org/W1966268626,4/25/2023,Sirui Cheng,,,,https://openalex.org/I180726961,,https://openalex.org/A4350047863,Xiuping Hua,,,,https://openalex.org/I13591777,,https://openalex.org/A4338718852,Qingfeng Wang,,,,https://openalex.org/I39333907,,https://openalex.org/A4372373097,,,,,,,,,,,,,,,2019B10038,2021Z017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Briceno,Humberto Corona,Antonino Freno,Francis Gonzalez,Nana Yamazaki,0,,,,,,,,,0.918731243,,,,2
18,Mutational Spectrum of MYO15A: The Large N-Terminal Extension of Myosin XVA Is Required for Hearing,journal-article,,https://openalex.org/W1971041908,6/1/2007,Nevra Nal,,,,https://openalex.org/I4210156075,,https://openalex.org/A2615860475,Zubair Ahmed,,,,https://openalex.org/I79619799,,https://openalex.org/A4355875010,Engin Erkal,,,,https://openalex.org/I197907453,,https://openalex.org/A2332456128,Oktay Dinc,,,,https://openalex.org/I197907453,,https://openalex.org/A2274951882,Ali Waryah,,,,https://openalex.org/I1318157472,,https://openalex.org/A4331834723,2004,DC000035-09,,University of Birmingham,GB,http://www.birmingham.ac.uk/index.aspx,https://www.epsrc.ac.uk/,http://www.matthey.com/,http://www.matthey.com/,,,http://www.wikidata.org/entity/Q223429,https://openalex.org/I79619799,EPSRC,GB,,https://openalex.org/I1299528221,Johnson Matthey,GB,http://www.wikidata.org/entity/Q502470,https://openalex.org/I4210099042,JM,GB,,https://openalex.org/I4210099042,,,,,,,,,Colin Ranson,Rob Fletcher,Deborah Dodds,,,3,,,,,,,,,0.911391738,,,,0
19,Novel mutations of MYO15A associated with profound deafness in consanguineous families and moderately severe hearing loss in a patient with Smith-Magenis syndrome,journal-article,https://www.wikidata.org/wiki/Q34104260,https://openalex.org/W1775749144,10/3/2001,K.-S Chen,,,,,,https://openalex.org/A2664586180,K-S Chen,,,,,,https://openalex.org/A2664586180,K-S Chen,,,,,,https://openalex.org/A2664586180,Ramesh Solomon,,,,,,,Jin Sullivan,,,,,,,P01CA75719,HD94021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None
20,Economic risk assessment of the quality labels and productive efficiency strategies in Spanish extensive sheep farms,journal-article,,https://openalex.org/W3163415200,,Bertolozzi-Caredio Daniele,,https://orcid.org/0000-0002-3709-7358,,https://openalex.org/I88060688,,https://openalex.org/A3023349918,Soriano Barbara,,,,https://openalex.org/I88060688,,https://openalex.org/A4336903293,Bardají Isabel,,,,https://openalex.org/I88060688,,https://openalex.org/A4332875028,Garrido Alberto,,,,https://openalex.org/I88060688,,https://openalex.org/A4358574529,2020c Mapa,,,,,,,,,,RECAN,,,http://www.mapaq.gouv.qc.ca/fr/Pages/Accueil.aspx,,,,,,,"Ministry of Agriculture, Fisheries and Food",CA,,https://openalex.org/I4210149126,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.877140115,,,,8
21,ENVIRONMENTAL CONDITIONS OF THE WATERS OF THE MANZANARES RIVER,journal,,https://openalex.org/W3128268435,Alvaro Marquez,,,,researcher,https://openalex.org/I182083151,https://www.wikidata.org/wiki/Q88402041,https://openalex.org/A4332264211,Andrew W Senior,,,researcher,https://openalex.org/I4210090411,https://www.wikidata.org/wiki/Q90646317,https://openalex.org/A4334186659,,,,,,,,,,,,,,,,,,,,,,5-019-006921,,,Deutsche Forschungsgemeinschaft,DE,http://www.dfg.de/en/,http://www.dshf.de/forschung_en.php,http://www.dfg.de/en/,http://www.dshf.de/forschung_en.php,http://www.dfg.de/en/,http://www.weather.gov/,,https://openalex.org/I87707601,German Research Foundation,DE,,https://openalex.org/I4210126796,DFG,DE,http://www.wikidata.org/entity/Q415738,https://openalex.org/I87707601,German Research Foundation,DE,,https://openalex.org/I4210126796,DFG,DE,http://www.wikidata.org/entity/Q415738,https://openalex.org/I87707601,NWS,US,,https://openalex.org/I4210095787,Glöckner,Smolka,Shu-Chen Li,Michael Smolka,,3,,,,,,,,,0.893262132,,,,3
22,Dopamine differentially modulates medial temporal lobe activity and behavior during spatial navigation in young and older adults,journal-article,,https://openalex.org/W2159662907,,Christian Baeuchl,,https://orcid.org/0000-0001-5615-3645,,https://openalex.org/I78650965,,https://openalex.org/A2745352909,Franka Glöckner,,,,https://openalex.org/I189712700,,https://openalex.org/A2147671725,Christoph Koch,,,,https://openalex.org/I39343248,,https://openalex.org/A4358533931,Johannes Petzold,,https://orcid.org/0000-0003-4163-9014,,https://openalex.org/I4210164182,,https://openalex.org/A2496159473,Nicolas Schuck,,,,https://openalex.org/I4210120221,,https://openalex.org/A4357508222,1-Project,390696704,,Dana Insentif Penerbitan Fakulti Pengajian Islam 2023,,,,,,,,,,Universiti Kebangsaan Malaysia,,,,Jabatan Mufti Negeri Sarawak,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None
23,Towards reliable reconstruction of the mouse brain corticothalamic connectivity using diffusion MRI,journal-article,,https://openalex.org/W2512118283,,Tanzil Arefin,,,,https://openalex.org/I57206974,,https://openalex.org/A4340020358,Heon Lee,Stanford University,,,https://openalex.org/I51226738,,https://openalex.org/A4356843043,Zifei Liang,,,,https://openalex.org/I57206974,,https://openalex.org/A3004758969,Harikrishna Rallapalli,,,,https://openalex.org/I57206974,,https://openalex.org/A2562181813,Youssef Wadghiri,,,,https://openalex.org/I4210145671,,https://openalex.org/A4356835619,,,,Japan Society for the Promotion of Science,JP,http://www.jsps.go.jp/,http://www.nih.gov/,,,,,,https://openalex.org/I205924995,National Institutes of Health,US,http://www.wikidata.org/entity/Q390551,https://openalex.org/I1299303238,,,,,,,,,,,,,,,,,T. B. F,A. J. G,S. K.,.,.,0,,,,,,,,,0.821897735,,,,4
24,A novel mutation at the DFNA36 hearing loss locus reveals a critical function and potential genotype-phenotype correlation for amino acid-572 of TMC1,journal-article,,https://openalex.org/W2119268652,,Friedman Tb,,,,,,,Andrew Griffith,,,,https://openalex.org/I160606119,,https://openalex.org/A4357832686,,,,,,,,,,,,,,,,,,,,,,Z01-DC-00060-06,Z01-DC-00064-06,,Department of Science and Technology,IN,http://dst.gov.in/,http://india.gov.in/,,,,,,https://openalex.org/I4210098748,Government of India,IN,http://www.wikidata.org/entity/Q2767140,https://openalex.org/I2799351866,Indonesian J Elec Eng & Comp Sci,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,0.900951031,,,,4
25,Journal of Biomedical Informatics,journal-article,http://www.wikidata.org/entity/Q6294850,https://openalex.org/W2065681830,2/17/2018,Muhammad Amith,,,,https://openalex.org/I919571938,,https://openalex.org/A4334119521,Zhe He,New Jersey Institute of Technology,,,https://openalex.org/I103163165,,https://openalex.org/A4359018224,Jiang Bian,,,,https://openalex.org/I1280536761,,https://openalex.org/A2101338964,Juan Lossio-Ventura,,https://orcid.org/0000-0003-0996-2356,,https://openalex.org/I97018004,,https://openalex.org/A265525939,Cui Tao,Brigham Young University,https://orcid.org/0000-0002-4267-1924,,https://openalex.org/I919571938,,https://openalex.org/A2142129985,AI130460,HG009454,,Akdeniz University Research Foundation,,,http://www.nidcd.nih.gov/Pages/default.aspx,http://www.nidcd.nih.gov/Pages/default.aspx,http://www.nih.gov/,http://www.nih.gov/,,,,National Institute on Deafness and Other Communication Disorders,US,,https://openalex.org/I4210156075,NIDCD,US,,https://openalex.org/I4210156075,National Institutes of Health,US,,https://openalex.org/I1299303238,NIH,US,http://www.wikidata.org/entity/Q342337,https://openalex.org/I1299303238,,,,,Dennis Drayna,Karen Friderici,Andrew Griffith,"Shin-ichiro Kitajiri,",T.B.F,6,,,,,,,,,0.908838869,,,,4
26,The effects of visual perceptual load on detection performance and event-related potentials to auditory stimuli,journal-article,,https://openalex.org/W2059291967,,Laura Brockhoff,,,,https://openalex.org/I22465464,,https://openalex.org/A3082572796,Elisa Elias,,,,,,https://openalex.org/A3174691332,Maximilian Bruchmann,,,,https://openalex.org/I22465464,,https://openalex.org/A4354707729,Sebastian Schindler,,https://orcid.org/0000-0002-7054-5431,,https://openalex.org/I22465464,,https://openalex.org/A2119961185,Robert Moeck,,,,https://openalex.org/I22465464,,https://openalex.org/A2549777469,,,,NIH,US,http://www.nih.gov/,,,,,,,https://openalex.org/I1299303238,,,,,,,,,,,,,,,,,,,,,Thomas Friedman,Robert Morell,,,,5,,,,,,,,,0.901170677,,,,4
27,It is a matter of perspective: Attentional focus rather than dietary restraint drives brain responses to food stimuli,journal-article,,https://openalex.org/W1930353164,3/31/2023,Sarah Kochs,,https://orcid.org/0000-0002-4003-2352,,,,https://openalex.org/A4213785091,Sieske Franssen,,,,https://openalex.org/I34352273,,https://openalex.org/A4345960000,Leonardo Pimpini,,https://orcid.org/0000-0001-7579-0703,,https://openalex.org/I34352273,,https://openalex.org/A4213785090,Job Van Den Hurk,,,,https://openalex.org/I34352273,,https://openalex.org/A2191254801,Giancarlo Valente,,https://orcid.org/0000-0002-4525-3509,,https://openalex.org/I34352273,,https://openalex.org/A2138158185,,,,National Institute of Child Health and Human Development,US,http://www.nichd.nih.gov/Pages/index.aspx,http://www.cancer.gov/,http://www.nidcd.nih.gov/Pages/default.aspx,,,,http://www.wikidata.org/entity/Q58581066,https://openalex.org/I4210144228,National Cancer Institute,US,,https://openalex.org/I4210140884,National Institute on Deafness and Other Communication Disorders,US,http://www.wikidata.org/entity/Q10843453,https://openalex.org/I4210156075,,,,,,,,,,,,,R. Morell,D. Deshmukh,B. Ploplis,A. J. Griffith,T.B.F.,2,,,,,,,,,0.884807514,,,,4
28,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",journal-article,http://www.wikidata.org/entity/Q87412594,https://openalex.org/W3009885589,3/12/2020,Fei Zhou,Massachusetts Institute of Technology,,,https://openalex.org/I9842412,http://www.wikidata.org/entity/Q53392480,https://openalex.org/A4356661907,Ting Yu,,,,https://openalex.org/I196699116,,https://openalex.org/A4356332150,Ronghui Du,,,,https://openalex.org/I4210109004,,https://openalex.org/A4333426899,Guohui Fan,,,,https://openalex.org/I2801051648,,https://openalex.org/A2911488157,Ying Liu,,,,https://openalex.org/I4210138803,,https://openalex.org/A4358182005,81425001,H0104,,of National Science and Technology,JP,https://www.aist.go.jp/index_en.html,http://www.cams.ac.cn/,http://www.ox.ac.uk/,,,,,https://openalex.org/I73613424,Peking Union Medical College,CN,http://www.wikidata.org/entity/Q3372325,https://openalex.org/I200296433,University of Oxford,GB,,https://openalex.org/I40120149,University of Virginia School of Medicine,,http://www.wikidata.org/entity/Q7896544,,,,,,,,,,Chen Wang,Peter W Horby,Frederick G Hayden,,,3,,,,,,,,,0.92363347,,,,9
29,Efficient hearing aid algorithm using DCT with uniformly re-sampled and recursively modified audiogram values,journal-article,http://www.wikidata.org/entity/Q118175302,https://openalex.org/W3173418483,,Zachariah Alex,,,,https://openalex.org/I876193797,,https://openalex.org/A4358553154,T.-B Deng,,,,,,https://openalex.org/A2952330004,T.-L Deng,,,,https://openalex.org/I31595395,,https://openalex.org/A2629814424,Elizabeth Rakesh Inani,,,,,,,,,,,,,,,,,European Union,BE,http://europa.eu/index_en.htm,https://www.bundeswehr.de/de/organisation/sanitaetsdienst,,,,,,https://openalex.org/I1320481043,Bundeswehr Medical Service,DE,,https://openalex.org/I4210145923,,,,,,,,,,,,,,,,,C.D.,.,.,P. Mackeldanz,.,3,,,,,,,,,0.908815381,,,,9
